"","Group","Crop","sci_name"
"40","Fruits/Berries","Currant/Gooseberry","Ribes irriguum"
"41","Fruits/Berries","Currant/Gooseberry","Ribes setosum"
"42","Fruits/Berries","Currant/Gooseberry","Ribes viscosissiumum"
"43","Fruits/Berries","Currant/Gooseberry","Ribes watsonianum"
"44","Fruits/Berries","Elderberry","Sambucus cerulea"
"45","Fruits/Berries","Highbush Cranberry","Viburnum alnifolium"
"46","Fruits/Berries","Raspberry/Blackberry","Rubus acualis"
"47","Fruits/Berries","Raspberry/Blackberry","Rubus enslenii"
"48","Fruits/Berries","Raspberry/Blackberry","Rubus frondosus"
"49","Fruits/Berries","Raspberry/Blackberry","Rubus glagellaris"
"50","Fruits/Berries","Raspberry/Blackberry","Rubus procerus"
"51","Fruits/Berries","Raspberry/Blackberry","Rubus stellatus"
"52","Fruits/Berries","Saskatoon","Amelanchier fernaldii"
"53","Fruits/Berries","Saskatoon","Amelanchier gaspensis"
"54","Fruits/Berries","Saskatoon","Amelanchier huronensis"
"55","Fruits/Berries","Saskatoon","Amelanchier lucida"
"56","Fruits/Berries","Saskatoon","Amelanchier mucronata"
"57","Fruits/Berries","Saskatoon","Amelanchier wiegandii"
"58","Fruits/Berries","Strawberry","Fragaria x ananassa"
"59","Grasses","Bentgrass","Agrostis borealis"
"60","Grasses","Bentgrass","Agrostis diegoensis"
"61","Grasses","Bluegrass","Poa ampla"
"62","Grasses","Bluegrass","Poa artica"
"63","Grasses","Bluegrass","Poa canbyi"
"64","Grasses","Bluegrass","Poa eminens"
"65","Grasses","Bluegrass","Poa epilis"
"66","Grasses","Bluegrass","Poa gluaca"
"67","Grasses","Bluegrass","Poa labrodorica"
"68","Grasses","Bluegrass","Poa lettermannii"
"69","Grasses","Bluegrass","Poa nevadensis"
"70","Grasses","Bluegrass","Poa occidentalis"
"71","Grasses","Bluegrass","Poa sandbergii"
"72","Grasses","Bluegrass","Poa vaseyochloa"
"73","Grasses","Bluestem","Andropogon scoparius"
"74","Grasses","Bromegrass","Bromus canadensis"
"75","Grasses","Bromegrass","Bromus cartharticus"
"76","Grasses","Bromegrass","Bromus purgans"
"77","Grasses","Fescue","Festuca obtusa"
"78","Grasses","Wheatgrass","Agropyron albicans"
"79","Grasses","Wheatgrass","Agropyron dasystachyum"
"80","Grasses","Wheatgrass","Agropyron scribneri"
"81","Grasses","Wheatgrass","Agropyron smithii"
"82","Grasses","Wheatgrass","Agropyron spicatum"
"83","Grasses","Wheatgrass","Agropyron trachycaulum"
"84","Herbs/Medicinals/Ornamentals","Evening primrose","Oenothera andina"
"85","Herbs/Medicinals/Ornamentals","Evening primrose","Oenothera breviflora"
"86","Herbs/Medicinals/Ornamentals","Evening primrose","Oenothera caespitosa"
"87","Herbs/Medicinals/Ornamentals","Evening primrose","Oenothera contorta"
"88","Herbs/Medicinals/Ornamentals","Evening primrose","Oenothera cruciata"
"89","Herbs/Medicinals/Ornamentals","Fern","Matteuccia struthipteris"
"90","Herbs/Medicinals/Ornamentals","Hyssop","Agastache neptoides"
"91","Herbs/Medicinals/Ornamentals","Hyssop","Agastache scrophulariaefolia"
"92","Herbs/Medicinals/Ornamentals","Onosmodium","Onosmodium hipiddissimum"
"93","Herbs/Medicinals/Ornamentals","Onosmodium","Onosmodium occidentale"
"94","Legumes","Clover","Trifolium bifidum"
"95","Legumes","Clover","Trifolium tridentatum"
