"","species","ECO_NAME","X","garden","variant","latitude","longitude","country","IUCNRedList","ECO_CODE","province","geometry","Group","crop"
"68","Acer nigrum","Northern Appalachian / Acadian",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"69","Acer nigrum","Eastern Taiga Shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"70","Acer pensylvanicum","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"71","Acer pensylvanicum","Boreal Shield",66,"UBC","",46.904395,-80.081475,"Canada","Least concern","NA0604","Ontario",c(-80.081475, 46.904395),"Trees","Maple"
"72","Acer pensylvanicum","St. Lawrence - Champlain Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"73","Acer pensylvanicum","Northern Appalachian / Acadian",62,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","New Brunswick",c(-67.566667, 45.716667),"Trees","Maple"
"74","Acer pensylvanicum","Northern Appalachian / Acadian",63,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","New Brunswick",c(-67.566667, 45.716667),"Trees","Maple"
"75","Acer pensylvanicum","Northern Appalachian / Acadian",64,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","New Brunswick",c(-67.566667, 45.716667),"Trees","Maple"
"76","Acer pensylvanicum","Northern Appalachian / Acadian",68,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","New Brunswick",c(-67.566667, 45.716667),"Trees","Maple"
"77","Acer pensylvanicum","Northern Appalachian / Acadian",73,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","New Brunswick",c(-67.566667, 45.716667),"Trees","Maple"
"78","Acer pensylvanicum","Boreal Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"79","Acer pensylvanicum","Great Lakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"80","Acer rubrum","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
