"","species","province","X","garden","variant","latitude","longitude","country","IUCNRedList","ECO_CODE","ECO_NAME","geometry","Group","crop"
"88","Acer rubrum","Ontario",213,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"89","Acer rubrum","Ontario",214,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"90","Acer rubrum","Ontario",215,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"91","Acer rubrum","Ontario",221,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"92","Acer rubrum","Ontario",222,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"93","Acer rubrum","Ontario",223,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"94","Acer rubrum","Ontario",225,"University of Guelph Arboretum","",42.5641,-81.624983,"Canada",NA,"NA0404","Great Lakes",c(-81.624983, 42.5641),"Trees","Maple"
"95","Acer rubrum","Ontario",231,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"96","Acer rubrum","Ontario",232,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"97","Acer rubrum","Ontario",233,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"98","Acer rubrum","Ontario",238,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"99","Acer rubrum","Ontario",239,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"100","Acer rubrum","Ontario",244,"University of Guelph Arboretum","",44.524171,-76.46553,"Canada",NA,"NA0604","Boreal Shield",c(-76.46553, 44.524171),"Trees","Maple"
"101","Acer rubrum","Ontario",246,"University of Guelph Arboretum","",44.524171,-76.46553,"Canada",NA,"NA0604","Boreal Shield",c(-76.46553, 44.524171),"Trees","Maple"
"102","Acer rubrum","Ontario",251,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"103","Acer rubrum","Ontario",253,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
