Crop,Wild_Relative_Genus,Wild_Relative_species
Proso millet,Panicum,virgatum
Proso millet,Panicum,wilcoxianum
Proso millet,Panicum,xanthophysum
Quinoa,Chenopodium,capitatum
Quinoa,Chenopodium,fremontii
Quinoa,Chenopodium,hybridum
Quinoa,Chenopodium,leptophyllum
Quinoa,Chenopodium,rubrum
Taxus,Taxus,brevifolia
Taxus,Taxus,canadensis
Wild Rice,Zizania,aquatica
Fir,Abies,amabilis
Fir,Abies,balsamea
Fir,Abies,grandis
Fir,Abies,lasiocarpa
Cypress,Chamaecyparis,nootkatensis
Larch,Larix,laricina
Larch,Larix,lyallii
Larch,Larix,occidentalis
Spruce,Picea,engelmanii
Spruce,Picea,glauca
Spruce,Picea,mariana
Spruce,Picea,rubens
Spruce,Picea,sitchensis
Pine,Pinus,albicaulis
Pine,Pinus,banksiana
Pine,Pinus,contorta
Pine,Pinus,flexilis
Pine,Pinus,monticola
Pine,Pinus,ponderosa
Pine,Pinus,resinosa
Pine,Pinus,rigida
Pine,Pinus,strobus
Douglas fir,Pseudotsuga,menziesii
Cedar,Thuja,occidentalis
Cedar,Thuja,plicata
Hemlock,Tsuga,canadensis
Hemlock,Tsuga,heterophylla
Hemlock,Tsuga,mertesiana
Alder,Alnus,crispa
Alder,Alnus,rubra
Alder,Alnus,rugosa
Alder,Alnus,sinuata
Ash,Fraxinus,americana
Ash,Fraxinus,nigra
Ash,Fraxinus,pennsylvanica
Ash,Fraxinus,quadrangulata
Beech,Fagus,grandifolia
Birch,Betula,lenta
Birch,Betula,lutea
Birch,Betula,neoalaskana
Birch,Betula,occidentalis
Birch,Betula,papyrifera
Birch,Betula,populifolia
Butternut,Julans,cinera
Butternut,Julans,nigra
Chestnut,Castanea,dentata
Elm,Ulmus,americana
Elm,Ulmus,rubra
Elm,Ulmus,thomasii
Hickory,Carya,cordiformis
Hickory,Carya,glabra
Hickory,Carya,laciniosa
Hickory,Carya,ovata
Linden,Tilia,americana
Maple,Acer,circinnatum
