"","garden","crop","species","variant","latitude","longitude","country","province","IUCNRedList"
"114","University of Guelph Arboretum","Maple","Acer rubrum","","46.481556","-84.010833","Canada","NA","NA"
"115","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"116","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"117","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"118","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"119","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"120","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"121","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"122","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"123","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"124","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"125","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"126","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"127","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"128","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"129","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"130","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"131","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"132","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"133","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"134","University of Guelph Arboretum","Maple","Acer rubrum","","42.7417885","-80.42821493","Canada","NA","NA"
"135","University of Guelph Arboretum","Maple","Acer rubrum","","44.06175847","-81.37332572","Canada","NA","NA"
"136","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"137","University of Guelph Arboretum","Maple","Acer rubrum","","46.481556","-84.010833","Canada","NA","NA"
"138","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"139","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"140","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"141","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"142","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"143","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"144","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"145","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"146","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"147","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"148","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"149","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"150","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"151","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"152","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"153","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"154","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"155","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"156","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"157","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"158","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"159","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"160","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"161","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"162","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"163","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
