,Crop,sci_nam,scntfcN,vrbtmSN,ECO_CODE,ECO_NAME,ECODE_NAME,PRENAME,PRFNAME,geometry,
48,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0514,North Cascades,NA0514. North Cascades,British Columbia,Colombie-Britannique,c(-121.708, 49.083)
49,Wheat,Elymus lanceolatus,Elymus lanceolatus subsp. lanceolatus,Elymus lanceolatus subsp. lanceolatus,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,British Columbia,Colombie-Britannique,c(-115.98, 50.5)
50,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0513,Montane Cordillera,NA0513. Montane Cordillera,British Columbia,Colombie-Britannique,c(-121.97, 55.62)
51,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA1103,Arctic Cordillera,NA1103. Arctic Cordillera,Newfoundland and Labrador,Terre-Neuve-et-Labrador,c(-63.82, 58.1)
52,Strawberry,Comarum palustre,Comarum palustre L.,Comarum palustre,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,Alberta,Alberta,c(-118.1012, 52.8934)
53,Heal-All,Prunella vulgaris,Prunella vulgaris L.,Prunella vulgaris,NA0404,Great Lakes,NA0404. Great Lakes,Ontario,Ontario,c(-79.048568, 44.578392)
54,Heal-All,Prunella vulgaris,Prunella vulgaris L.,Prunella vulgaris Linnaeus,NA0604,Boreal Shield,NA0604. Boreal Shield,Quebec,Quebec,c(-71.6, 48.35)
55,Strawberry,Comarum palustre,Potentilla palustris (L.) Scop.,Potentilla palustris var. palustris f. subsericea Wolf,NA0417,St. Lawrence - Champlain Valley,NA0417. St. Lawrence - Champlain Valley,Quebec,Quebec,c(-74.5, 45.033333)
56,Strawberry,Comarum palustre,Potentilla palustris (L.) Scop.,Potentilla palustris (L.) Scop.,NA0605,Eastern Taiga Shield,NA0605. Eastern Taiga Shield,Quebec,Quebec,c(-70.466667, 52.916667)
57,Raspberry  Red,Rubus arcticus,Rubus arcticus subsp. acaulis (Michx.) Focke,Rubus arcticus subsp. acaulis (Michx.) Focke,NA0604,Boreal Shield,NA0604. Boreal Shield,Quebec,Quebec,c(-72.096944, 51.956111)
58,Mint  Corn,Mentha canadensis,Mentha canadensis L.,Mentha canadensis Linnaeus,NA0417,St. Lawrence - Champlain Valley,NA0417. St. Lawrence - Champlain Valley,Quebec,Quebec,c(-72.75, 46.161111)
