"","garden","crop","species","variant","latitude","longitude","country","province","IUCNRedList"
"42","Royal Botanical Garden","Maple","Acer saccharum","Temple's Upright'",".",".","","","NA"
"43","Royal Botanical Garden","Maple","Acer saccharum","saccharum",".",".","","","NA"
"44","Royal Botanical Garden","Maple","Acer saccharum","",".",".","","","NA"
"45","Royal Botanical Garden","Maple","Acer saccharum","Legacy'",".",".","","","NA"
"46","Royal Botanical Garden","Maple","Acer saccharum","Newton Sentry'",".",".","","","NA"
"47","Royal Botanical Garden","Maple","Acer saccharum","Senecaense'",".",".","","","NA"
"48","Royal Botanical Garden","Maple","Acer saccharum","",".",".","","","NA"
"49","Royal Botanical Garden","Maple","Acer saccharum"," nigrum 'Green Column'",".",".","","","NA"
"50","Royal Botanical Garden","Maple","Acer saccharum","Arrowhead'",".",".","","","NA"
"51","Royal Botanical Garden","Maple","Acer saccharum","Sweet Shadow'",".",".","","","NA"
"52","Royal Botanical Garden","Maple","Acer saccharum","",".",".","","","NA"
"53","Royal Botanical Garden","Maple","Acer saccharum","",".",".","","","NA"
"54","Royal Botanical Garden","Maple","Acer saccharum","",".",".","","","NA"
"55","Royal Botanical Garden","Maple","Acer saccharum","",".",".","","","NA"
"56","Royal Botanical Garden","Maple","Acer saccharum","Green Mountain'",".",".","","","NA"
"57","Royal Botanical Garden","Maple","Acer saccharum","Endowment'",".",".","","","NA"
"58","Royal Botanical Garden","Maple","Acer saccharum","Flax Mill Majesty'",".",".","","","NA"
"59","Royal Botanical Garden","Hyssop","Agastache foeniculum","",".",".","","","NA"
"60","Royal Botanical Garden","Hyssop","Agastache foeniculum","Blue Fortune'",".",".","","","NA"
"61","Royal Botanical Garden","Hyssop","Agastache foeniculum","Golden Jubilee'",".",".","","","NA"
"62","Royal Botanical Garden","Hyssop","Agastache foeniculum","Golden Jubilee'",".",".","","","NA"
"63","Royal Botanical Garden","Hyssop","Agastache foeniculum","",".",".","","","NA"
"64","Royal Botanical Garden","Onion","Allium cernuum","",".",".","","","NA"
"65","Royal Botanical Garden","Onion","Allium cernuum","",".",".","","","NA"
"66","Royal Botanical Garden","Onion","Allium cernuum","",".",".","","","NA"
"67","Royal Botanical Garden","Onion","Allium schoenoprasum","Rising Star'",".",".","","","NA"
"68","Royal Botanical Garden","Onion","Allium schoenoprasum","Rising Star'",".",".","","","NA"
"69","Royal Botanical Garden","Saskatoon","Amelanchier arborea","",".",".","","","NA"
"70","Royal Botanical Garden","Saskatoon","Amelanchier canadensis","",".",".","","","NA"
