Taxon,Family,Genus,species,rank 1,infraspecific 1,rank 2,infraspecific 2,Taxon 2019 final without ranks,Taxon_Khouryetal (2013),Taxon_GRIN Global_2019,CWR_WUS_common_name,Type,Priority 2013,Category 2019 very general,Category 2019 general,Category 2019,Category 2019 confirmed,GRIN Global CWR Primary,GRIN Global CWR Secondary,GRIN Global CWR Tertiary,GRIN Global CWR Graftstock,In GRIN Global  CWR 2019,For ex situ gap analysis,For in situ gap analysis,Note on relation 2019,Relation_to_crop_2013,GP_TG_2013,GP_TG_citation_2013,Occurrence general,Occurrence specific,Distribution_states,Nox_weed,Occurrence_notes,CWR_WUS_citation,Type,Associated_crop_taxon,Associated_crop_common name,Crop or WUS use_very general,Crop or WUS use_general,Crop or WUS use_1,Crop or WUS use_2,Crop or WUS use_3
Allium drummondii,Amaryllidaceae,Allium,drummondii,,,,,Allium drummondii,Allium drummondii,Allium drummondii,Drummond's Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: AR, KS, MO, NE, NM, OK, SD, TX",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium falcifolium,Amaryllidaceae,Allium,falcifolium,,,,,Allium falcifolium,Allium falcifolium,Allium falcifolium,Scythe-leaf Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: CA, OR",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium fibrillum,Amaryllidaceae,Allium,fibrillum,,,,,Allium fibrillum,Allium fibrillum,Allium fibrillum,Blue Mountain Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: ID, MT, OR, WA",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium geyeri,Amaryllidaceae,Allium,geyeri,,,,,Allium geyeri,Allium geyeri,Allium geyeri,Geyer's Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: AZ, CO, ID, MT, NM, NN, NV, OR, SD, TX, UT, WA, WYCA: AB, BC, MB, SK",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium geyeri var. geyeri,Amaryllidaceae,Allium,geyeri,var.,geyeri,,,Allium geyeri geyeri,Allium geyeri var. geyeri,Allium geyeri var. geyeri,Geyer's Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: AZ, CO, ID, MT, NM, NV, OR, SD, TX, UT, WA, WYCA: AB, MB, SK",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium geyeri var. tenerum,Amaryllidaceae,Allium,geyeri,var.,tenerum,,,Allium geyeri tenerum,Allium geyeri var. tenerum,Allium geyeri var. tenerum,Geyer's Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: AZ, CO, ID, MT, NM, NV, OR, UT, WA, WYCA: AB, BC, SK",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium gooddingii,Amaryllidaceae,Allium,gooddingii,,,,,Allium gooddingii,Allium gooddingii,Allium gooddingii,Goodding's Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: AZ, NM, NN",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium kunthii,Amaryllidaceae,Allium,kunthii,,,,,Allium kunthii,Allium kunthii,Allium kunthii,Kunth's Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: AZ, NM, TX",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium lemmonii,Amaryllidaceae,Allium,lemmonii,,,,,Allium lemmonii,Allium lemmonii,Allium lemmonii,Claybank Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: CA, ID, NV, OR, UT",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium macrum,Amaryllidaceae,Allium,macrum,,,,,Allium macrum,Allium macrum,Allium macrum,Rock Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,GRIN CWR Database (2012); Harlan and de Wet CWR Database (2012),Native,Native,"US: OR, WA",,,NSNDB 2010,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,restoration,
