Taxon,Family,Genus,species,rank 1,infraspecific 1,rank 2,infraspecific 2,Taxon 2019 final without ranks,Taxon_Khouryetal (2013),Taxon_GRIN Global_2019,CWR_WUS_common_name,Type,Priority 2013,Category 2019 very general,Category 2019 general,Category 2019,Category 2019 confirmed,GRIN Global CWR Primary,GRIN Global CWR Secondary,GRIN Global CWR Tertiary,GRIN Global CWR Graftstock,In GRIN Global  CWR 2019,For ex situ gap analysis,For in situ gap analysis,Note on relation 2019,Relation_to_crop_2013,GP_TG_2013,GP_TG_citation_2013,Occurrence general,Occurrence specific,Distribution_states,Nox_weed,Occurrence_notes,CWR_WUS_citation,Type,Associated_crop_taxon,Associated_crop_common name,Crop or WUS use_very general,Crop or WUS use_general,Crop or WUS use_1,Crop or WUS use_2,Crop or WUS use_3
Ardisia escallonioides,Primulaceae,Ardisia,escallonioides,,,,,Ardisia escallonioides,Ardisia escallonioides,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Arenaria congesta,Caryophyllaceae,Arenaria,congesta,,,,,Arenaria congesta,Arenaria congesta,,Capitate Sandwort,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: AZ, CA, CO, ID, MT, NV, OR, UT, WA, WYCA: AB, SK",,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Arenaria fendleri var. fendleri,Caryophyllaceae,Arenaria,fendleri,var.,fendleri,,,Arenaria fendleri fendleri,Arenaria fendleri var. fendleri,,Fendler's Sandwort,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,,,"US: AZ, CO, NM, TX, UT, WY",,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Argemone albiflora,Papaveraceae,Argemone,albiflora,,,,,Argemone albiflora,Argemone albiflora,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native; naturalized,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Argemone mexicana,Papaveraceae,Argemone,mexicana,,,,,Argemone mexicana,Argemone mexicana,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native; naturalized,,,,McGuffin (2000),,,,Medicinal,Medicinal,medicinal,,
Argemone munita,Papaveraceae,Argemone,munita,,,,,Argemone munita,Argemone munita,,Flatbud pricklypoppy,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Argemone polyanthemos,Papaveraceae,Argemone,polyanthemos,,,,,Argemone polyanthemos,Argemone polyanthemos,,crested pricklypoppy,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Ariocarpus fissuratus,Cactaceae,Ariocarpus,fissuratus,,,,,Ariocarpus fissuratus,Ariocarpus fissuratus,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Arisaema dracontium,Araceae,Arisaema,dracontium,,,,,Arisaema dracontium,Arisaema dracontium,,Green Dragon,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WVCA: ON, QC",,,Widrlechner pers comm 2011,,,,Medicinal,Medicinal,medicinal,,
Arisaema triphyllum,Araceae,Arisaema,triphyllum,,,,,Arisaema triphyllum,Arisaema triphyllum,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,McGuffin (2000),,,,Medicinal,Medicinal,medicinal,ornamental,
Aristida adscensionis,Poaceae,Aristida,adscensionis,,,,,Aristida adscensionis,Aristida adscensionis,,Six-weeks Three-awn Grass,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: AZ, CA, CO, HI, KS, MD, MO, NM, NV, NY, OK, TX, UT",,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Aristida purpurea,Poaceae,Aristida,purpurea,,,,,Aristida purpurea,Aristida purpurea,,purple threeawn,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Aristida ternipes,Poaceae,Aristida,ternipes,,,,,Aristida ternipes,Aristida ternipes,,spidergrass,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Aristida ternipes var. hamulosa,Poaceae,Aristida,ternipes,var.,hamulosa,,,Aristida ternipes hamulosa,Aristida ternipes var. hamulosa,,Hook Three-awn Grass,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: AZ, CA, NM, TX",,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Aristolochia macrophylla,Aristolochiaceae,Aristolochia,macrophylla,,,,,Aristolochia macrophylla,Aristolochia macrophylla,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native; naturalized,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,,
Aristolochia serpentaria,Aristolochiaceae,Aristolochia,serpentaria,,,,,Aristolochia serpentaria,Aristolochia serpentaria,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,Extirpated in DC,"McGuffin (2000), Widrlechner pers comm 2011",,,,Medicinal,Medicinal,medicinal,,
Aristolochia tomentosa,Aristolochiaceae,Aristolochia,tomentosa,,,,,Aristolochia tomentosa,Aristolochia tomentosa,,Woolly Dutchman's-pipe,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,"US: AL, AR, CT, FL, GA, IL, IN, KS, KY, LA, MA, MO, MS, NC, NY, OK, SC, TN, TX, VT",,,Widrlechner pers comm 2011,,,,Ornamental,Ornamental,ornamental,,
Armeria maritima,Plumbaginaceae,Armeria,maritima,,,,,Armeria maritima,Armeria maritima,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Arnica chamissonis,Asteraceae,Arnica,chamissonis,,,,,Arnica chamissonis,Arnica chamissonis,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,McGuffin (2000),,,,Medicinal,Medicinal,medicinal,,
Arnica cordifolia,Asteraceae,Arnica,cordifolia,,,,,Arnica cordifolia,Arnica cordifolia,,heartleaf arnica,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Arnica fulgens,Asteraceae,Arnica,fulgens,,,,,Arnica fulgens,Arnica fulgens,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Arnica latifolia,Asteraceae,Arnica,latifolia,,,,,Arnica latifolia,Arnica latifolia,,broadleaf arnica,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,NSNDB 2010,,,,Medicinal,Medicinal,medicinal,restoration,
Arnica mollis,Asteraceae,Arnica,mollis,,,,,Arnica mollis,Arnica mollis,,hairy arnica,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Aruncus dioicus,Rosaceae,Aruncus,dioicus,,,,,Aruncus dioicus,Aruncus dioicus,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Arundinaria gigantea,Poaceae,Arundinaria,gigantea,,,,,Arundinaria gigantea,Arundinaria gigantea,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,Bradly pers comm (2011),Native,Endemic,,,,Wiersema and León (1999),,,,Food and agriculture,Forage and feed,forage and feed,,
Arundo donax,Poaceae,Arundo,donax,,,,,Arundo donax,Arundo donax,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Non Native,Naturalized,,Noxious_weed_State,Noxioius weed in 2 states,McGuffin (2000),,,,Medicinal,Medicinal,medicinal,ornamental,fuel
Asarum hartwegii,Aristolochiaceae,Asarum,hartwegii,,,,,Asarum hartwegii,Asarum hartwegii,,Hartweg's Wild Ginger,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,,,"US: CA, OR",,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Asclepias californica,Apocynaceae,Asclepias,californica,,,,,Asclepias californica,Asclepias californica,,California milkweed,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Asclepias cordifolia,Apocynaceae,Asclepias,cordifolia,,,,,Asclepias cordifolia,Asclepias cordifolia,,Purple Milkweed,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: CA, NV, OR",,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Asclepias fascicularis,Apocynaceae,Asclepias,fascicularis,,,,,Asclepias fascicularis,Asclepias fascicularis,,Narrowleaf Milkweed,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: CA, ID, NV, OR, UT, WA",,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Asclepias incarnata,Apocynaceae,Asclepias,incarnata,,,,,Asclepias incarnata,Asclepias incarnata,,swamp milkweed,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,NSNDB 2010,,,,Medicinal,Medicinal,medicinal,restoration,
Asclepias speciosa,Apocynaceae,Asclepias,speciosa,,,,,Asclepias speciosa,Asclepias speciosa,,showy milkweed,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,NSNDB 2010,,,,Material and industrial,Material and industrial,material,restoration,
Asclepias syriaca,Apocynaceae,Asclepias,syriaca,,,,,Asclepias syriaca,Asclepias syriaca,,common milkweed,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,NSNDB 2010,,,,Medicinal,Medicinal,medicinal,material,restoration
Asclepias tuberosa,Apocynaceae,Asclepias,tuberosa,,,,,Asclepias tuberosa,Asclepias tuberosa,,butterfly milkweed,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,Extirpated in Maine,NSNDB 2010,,,,Medicinal,Medicinal,medicinal,ornamental,restoration
Asplenium adiantum-nigrum,Aspleniaceae,Asplenium,adiantum-nigrum,,,,,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Asplenium ebenoides,Aspleniaceae,Asplenium,ebenoides,,,,,Asplenium ebenoides,Asplenium ebenoides,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,Noxious weed in 2 states,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Asplenium platyneuron,Aspleniaceae,Asplenium,platyneuron,,,,,Asplenium platyneuron,Asplenium platyneuron,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Asplenium rhizophyllum,Aspleniaceae,Asplenium,rhizophyllum,,,,,Asplenium rhizophyllum,Asplenium rhizophyllum,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Asplenium scolopendrium,Aspleniaceae,Asplenium,scolopendrium,,,,,Asplenium scolopendrium,Asplenium scolopendrium,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,McGuffin (2000),,,,Medicinal,Medicinal,medicinal,,
Asplenium trichomanes,Aspleniaceae,Asplenium,trichomanes,,,,,Asplenium trichomanes,Asplenium trichomanes,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Astragalus aboriginum,Fabaceae,Astragalus,aboriginum,,,,,Astragalus aboriginum,Astragalus aboriginum,,,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,,,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus accumbens,Fabaceae,Astragalus,accumbens,,,,,Astragalus accumbens,Astragalus accumbens,,Zuni Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: NM, NN",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus acutirostris,Fabaceae,Astragalus,acutirostris,,,,,Astragalus acutirostris,Astragalus acutirostris,,Beaked Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AZ, CA, NV",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus aequalis,Fabaceae,Astragalus,aequalis,,,,,Astragalus aequalis,Astragalus aequalis,,Clokey's Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,US: NV,,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus agnicidus,Fabaceae,Astragalus,agnicidus,,,,,Astragalus agnicidus,Astragalus agnicidus,,Humboldt Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,US: CA,,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus agrestis,Fabaceae,Astragalus,agrestis,,,,,Astragalus agrestis,Astragalus agrestis,,Purple Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: CA, CO, IA, ID, IL, KS, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WYCA: AB, BC, MB, NT, ON, SK, YT",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus albens,Fabaceae,Astragalus,albens,,,,,Astragalus albens,Astragalus albens,,Cushenbury Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,US: CA,,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus allochrous,Fabaceae,Astragalus,allochrous,,,,,Astragalus allochrous,Astragalus allochrous,,Halfmoon Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AZ, CA, CO, NM, TX",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus alpinus,Fabaceae,Astragalus,alpinus,,,,,Astragalus alpinus,Astragalus alpinus,,alpine milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,,,,NSNDB 2010,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,restoration,
Astragalus alvordensis,Fabaceae,Astragalus,alvordensis,,,,,Astragalus alvordensis,Astragalus alvordensis,,Alvord Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: NV, OR",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus americanus,Fabaceae,Astragalus,americanus,,,,,Astragalus americanus,Astragalus americanus,,American Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AK, CO, MT, SD, WYCA: AB, BC, MB, NT, ON, QC, SK, YT",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus amphioxys,Fabaceae,Astragalus,amphioxys,,,,,Astragalus amphioxys,Astragalus amphioxys,,Aladdin's-slippers,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AZ, CO, NM, NV, TX, UT",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus amphioxys var. amphioxys,Fabaceae,Astragalus,amphioxys,var.,amphioxys,,,Astragalus amphioxys amphioxys,Astragalus amphioxys var. amphioxys,,Aladdin's-slippers,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AZ, NM, NV, UT",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus ampullarioides,Fabaceae,Astragalus,ampullarioides,,,,,Astragalus ampullarioides,Astragalus ampullarioides,,,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,US: UT,,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus andersonii,Fabaceae,Astragalus,andersonii,,,,,Astragalus andersonii,Astragalus andersonii,,Anderson's Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: CA, NV",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus applegatei,Fabaceae,Astragalus,applegatei,,,,,Astragalus applegatei,Astragalus applegatei,,Applegate's Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,US: OR,,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus argophyllus,Fabaceae,Astragalus,argophyllus,,,,,Astragalus argophyllus,Astragalus argophyllus,,Silverleaf Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AZ, CA, CO, ID, MT, NV, UT, WY",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus argophyllus var. argophyllus,Fabaceae,Astragalus,argophyllus,var.,argophyllus,,,Astragalus argophyllus argophyllus,Astragalus argophyllus var. argophyllus,,Silverleaf Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: CA, ID, MT, NV, UT, WY",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus argophyllus var. martinii,Fabaceae,Astragalus,argophyllus,var.,martinii,,,Astragalus argophyllus martinii,Astragalus argophyllus var. martinii,,Silverleaf Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AZ, CO, ID, MT, NV, UT, WY",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus argophyllus var. panguicensis,Fabaceae,Astragalus,argophyllus,var.,panguicensis,,,Astragalus argophyllus panguicensis,Astragalus argophyllus var. panguicensis,,Silverleaf Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AZ, UT",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus aridus,Fabaceae,Astragalus,aridus,,,,,Astragalus aridus,Astragalus aridus,,Annual Desert Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AZ, CA",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus arizonicus,Fabaceae,Astragalus,arizonicus,,,,,Astragalus arizonicus,Astragalus arizonicus,,Arizona Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AZ, NM",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus asclepiadoides,Fabaceae,Astragalus,asclepiadoides,,,,,Astragalus asclepiadoides,Astragalus asclepiadoides,,Bird Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: CO, UT",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus asymmetricus,Fabaceae,Astragalus,asymmetricus,,,,,Astragalus asymmetricus,Astragalus asymmetricus,,San Joaquin Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,US: CA,,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus atropubescens,Fabaceae,Astragalus,atropubescens,,,,,Astragalus atropubescens,Astragalus atropubescens,,Kelsey's Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: ID, MT",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus australis,Fabaceae,Astragalus,australis,,,,,Astragalus australis,Astragalus australis,,Indian Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AK, CO, ID, MT, ND, NM, NV, OR, SD, UT, WYCA: AB, BC, MB, NT, NU, ON, QC, SK, YT",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus australis var. australis,Fabaceae,Astragalus,australis,var.,australis,,,Astragalus australis australis,Astragalus australis var. australis,,,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,,,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus australis var. olympicus,Fabaceae,Astragalus,australis,var.,olympicus,,,Astragalus australis olympicus,Astragalus australis var. olympicus,,,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,,,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus barrii,Fabaceae,Astragalus,barrii,,,,,Astragalus barrii,Astragalus barrii,,Barr's Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: MT, NE, SD, WY",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus beckwithii,Fabaceae,Astragalus,beckwithii,,,,,Astragalus beckwithii,Astragalus beckwithii,,Beckwith's Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: ID, NV, OR, UT, WACA: BC",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus beckwithii var. beckwithii,Fabaceae,Astragalus,beckwithii,var.,beckwithii,,,Astragalus beckwithii beckwithii,Astragalus beckwithii var. beckwithii,,Beckwith's Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: ID, NV, UT",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus beckwithii var. purpureus,Fabaceae,Astragalus,beckwithii,var.,purpureus,,,Astragalus beckwithii purpureus,Astragalus beckwithii var. purpureus,,Beckwith's Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: NV, UT",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus beckwithii var. sulcatus,Fabaceae,Astragalus,beckwithii,var.,sulcatus,,,Astragalus beckwithii sulcatus,Astragalus beckwithii var. sulcatus,,Beckwith's Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,US: ID,,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus beckwithii var. weiserensis,Fabaceae,Astragalus,beckwithii,var.,weiserensis,,,Astragalus beckwithii weiserensis,Astragalus beckwithii var. weiserensis,,Beckwith's Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: ID, NV, OR, WACA: BC",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus bibullatus,Fabaceae,Astragalus,bibullatus,,,,,Astragalus bibullatus,Astragalus bibullatus,,Pyne's Ground-plum,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,US: TN,,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus bisulcatus,Fabaceae,Astragalus,bisulcatus,,,,,Astragalus bisulcatus,Astragalus bisulcatus,,Two-grooved Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AZ, CO, ID, KS, MT, ND, NE, NM, NV, OK, SD, UT, WYCA: AB, MB, SK",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus bodinii,Fabaceae,Astragalus,bodinii,,,,,Astragalus bodinii,Astragalus bodinii,,Bodin's Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: AK, CO, NE, NM, UT, WYCA: AB, MB, NF, NT, SK, YT",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
Astragalus bolanderi,Fabaceae,Astragalus,bolanderi,,,,,Astragalus bolanderi,Astragalus bolanderi,,Bolander's Milkvetch,CWR,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,Unknown,,,Native,Native,"US: CA, NV",,,Khoury et al. (2012) Crop prioritization method,,Astragalus,Astragalus,Food and agriculture,Forage and feed,forage and feed,,
